"V1","V2"
-49.8196104103123,0
-49.818725892404,-2.84720107375693e-11
-49.8194895584348,-4.50196341592906e-12
-49.8193575212588,3.58802099860043e-13
-49.8193000226181,1.120924003192e-12
-49.8171379687841,1.02535639421634e-12
-49.8186526862722,4.44279339760126e-13
-49.818212259384,6.02930439638801e-13
-49.8191052992944,3.23730740923665e-13
-49.8187459317456,-1.33192076265736e-11
-49.8171931348685,-6.9370873055071e-14
-49.8191049650793,0
-49.8181893651861,-6.76252045449394e-14
-49.8191746969751,-1.22515501978641e-14
-49.818725321474,2.67596591991883e-14
-49.8176455549649,3.15497842265275e-14
-49.8190973504842,-6.27317601495418e-15
-49.8193018798219,-1.31597950517776e-14
-49.8191458047569,-4.90534160454431e-14
-49.8188113792455,-1.01073228115818e-14
-49.8175234187364,3.01883951717981e-14
-49.8187525954242,-1.87243026961319e-14
-49.8191219110339,-1.07824181205636e-14
-49.8191573236983,2.95821776334297e-14
-49.8191586075251,5.78230278512794e-14
-49.8190936378185,-6.51430657005882e-15
-49.8192727966363,-2.43883591013064e-14
-49.8191429968393,-6.05005682342861e-15
-49.819352333565,-3.49491626108813e-14
-49.8184856172411,-3.55123488284635e-14
-49.8190736932339,1.97403834463171e-14
-49.8179828837279,-9.14378297881338e-15
-49.8187653038452,-9.3323175417944e-15
-49.8191221012987,7.02675990593819e-15
-49.8192017795757,-7.20189423658403e-15
-49.8185008013712,-2.37407356019229e-14
-49.8182745194192,-1.21157263175728e-14
-49.8190588894059,3.57198958379893e-14
-49.8193581404671,-1.08881160998845e-14
-49.8181741335468,-3.79373519656975e-14
-49.819009672795,1.29083929636741e-14
-49.8186197486262,3.31427399957942e-14
-49.8191431385497,-2.3600608351057e-15
-49.8186262702198,2.9211944052685e-14
-49.8189953462016,2.71644886513037e-14
-49.8187856758653,5.22497120612885e-15
-49.8187642094957,2.57799183929468e-14
-49.8192031131555,-9.52814165654685e-15
2770.36231927931,4.12989081192111e-12
-49.8188053337327,3.75720894169129e-14
-49.8189616935195,1.03343273523269e-13
-49.8176923922215,6.24808940520157e-14
-49.8183003185107,-4.36354222338791e-15
-49.818774585455,1.45166805383652e-14
-49.8177747856491,2.63539382275089e-14
-49.8191646542263,1.76913709379918e-14
-49.8183773796397,-1.42201999267514e-14
-49.8182902752213,-3.65861271052107e-14
-49.8185324064073,5.07843054988432e-14
-49.8184865685008,4.41651618877458e-16
-49.8184705766416,-1.25832797400524e-14
-49.8184896633975,2.94234365566719e-15
-49.8194775161921,-9.81997593821152e-15
-49.8189841594404,-3.02889287983052e-14
-49.8187562125129,1.50179004127382e-15
-49.8192873618988,8.72124802627377e-15
-49.8178792155425,-3.81586797711869e-15
-49.818816281385,-1.47583738170021e-14
-49.8182979375179,7.13364924684921e-14
-49.8191206735399,6.93553835482577e-15
-49.8188570729315,1.21052218312567e-14
-49.8193779415251,-3.4012502704099e-14
-49.8193023558247,2.74009776708663e-14
-49.8191258616773,-2.58896249536529e-14
-49.8189648362196,1.14115184786421e-15
-49.8191589889915,-4.2930417994234e-15
-49.8190870216901,-2.24551968489115e-14
-49.8168894085675,-3.77596768253263e-14
-49.8186926686003,-1.4562483728149e-14
-49.8187897690362,5.63057559134049e-16
-49.8181911741672,4.18970090414304e-14
-49.8188540739298,1.307260285334e-14
-49.8190907343352,-2.55952708036857e-14
-49.8186720586521,-2.33130404941451e-14
-49.8191254809452,-2.21874833777866e-14
-49.8191746018551,-1.18470178870526e-14
-49.8188654979063,-4.10687263347803e-15
-49.8190263329856,3.82352271795026e-14
-49.8190059130817,-3.55770702224148e-14
-49.817955325309,3.00526375255877e-14
-49.8192465225459,-1.70768076648709e-14
-49.8190638879151,-3.02507198498869e-14
-49.8185276943908,-5.45540984294291e-15
-49.8184737649945,3.22549393363408e-14
-49.8179418089057,-2.67160121394525e-14
-49.8186999988787,-5.46829379822982e-15
-49.8183392057167,-3.95261147534796e-14
-49.8181134935819,-3.50754222167346e-14
-49.8190096735431,-4.62230371229306e-15
-49.8177833056019,-5.69923472929941e-15
-49.8190032002084,-1.04330734102572e-14
-49.819119196607,-4.93287439179653e-15
-49.8192693213247,-9.35848781627303e-15
-49.8185750065729,-3.73690087660386e-14
-49.8186123708935,6.06930600806553e-14
-49.8183193073881,-4.28034141717653e-14
-49.8191350954396,-1.99015847116416e-14
-49.8184167407792,2.50947017403353e-14
-49.8188168999902,3.83350131348702e-14
-49.8190709800895,1.84135406578213e-14
-49.8190313780195,2.84993470704092e-14
-49.8171839484542,3.7491767473079e-14
-49.8192088249235,-5.31542112100604e-16
-49.8185521118303,2.34464071710206e-14
-49.8192801734987,3.16478834686271e-15
-49.8188483149409,5.47003806089319e-14
-49.8193920305432,-2.47168733319669e-14
-49.818738030158,1.64052977328174e-14
-49.8183412997846,-2.93954806662579e-14
-49.8191936412249,-7.84268922870335e-14
-49.8188322268688,3.55785486427878e-15
-49.8190661721183,1.15989566107933e-15
-49.8189162370881,1.6470283488574e-14
-49.8183790919298,4.87192199949104e-15
-49.8190120531272,-2.68821832513039e-14
-49.8181076862062,-1.07198634250092e-14
-49.8185710080169,1.64151994646191e-14
-49.8179636551943,8.06377538147107e-16
-49.8188056669036,-3.41085085999871e-15
-49.8184258809223,-4.93304078065251e-14
-49.818863165581,6.46465484206997e-14
-49.8188775876069,3.27634390291037e-14
-49.818782295958,4.61204349129852e-14
2729.43252102758,1.1170701836782e-12
-49.8191281938883,-3.67241443759338e-14
-49.8186673948748,3.21775537126645e-14
-49.81937013519,-1.56817539134886e-14
-49.8172918533983,5.7101011521739e-14
-49.8192828879443,2.56995879074126e-14
-49.8179382391061,-1.22498394520044e-15
-49.8190904963413,-1.34701123296848e-14
-49.8191201023237,3.29644123674388e-15
-49.8182163052472,-1.18756442680452e-14
-49.8190139573759,1.69322847577841e-14
-49.8189583619491,2.34088150886397e-15
-49.819368611632,-4.87568370965805e-14
-49.8187933865969,2.79964353937208e-14
-49.819493366163,3.78407982720875e-14
