"x1","x2","idx"
-49.8196104103123,0,1
-49.818725892404,-2.84720107375693e-11,2
-49.8194895584348,-4.50196341592906e-12,3
-49.8193575212588,3.58802099860043e-13,4
-49.8193000226181,1.120924003192e-12,5
-49.8171379687841,1.02535639421634e-12,6
-49.8186526862722,4.44279339760126e-13,7
-49.818212259384,6.02930439638801e-13,8
-49.8191052992944,3.23730740923665e-13,9
-49.8187459317456,-1.33192076265736e-11,10
-49.8171931348685,-6.9370873055071e-14,11
-49.8191049650793,0,12
-49.8181893651861,-6.76252045449394e-14,13
-49.8191746969751,-1.22515501978641e-14,14
-49.818725321474,2.67596591991883e-14,15
-49.8176455549649,3.15497842265275e-14,16
-49.8190973504842,-6.27317601495418e-15,17
-49.8193018798219,-1.31597950517776e-14,18
-49.8191458047569,-4.90534160454431e-14,19
-49.8188113792455,-1.01073228115818e-14,20
-49.8175234187364,3.01883951717981e-14,21
-49.8187525954242,-1.87243026961319e-14,22
-49.8191219110339,-1.07824181205636e-14,23
-49.8191573236983,2.95821776334297e-14,24
-49.8191586075251,5.78230278512794e-14,25
-49.8190936378185,-6.51430657005882e-15,26
-49.8192727966363,-2.43883591013064e-14,27
-49.8191429968393,-6.05005682342861e-15,28
-49.819352333565,-3.49491626108813e-14,29
-49.8184856172411,-3.55123488284635e-14,30
-49.8190736932339,1.97403834463171e-14,31
-49.8179828837279,-9.14378297881338e-15,32
-49.8187653038452,-9.3323175417944e-15,33
-49.8191221012987,7.02675990593819e-15,34
-49.8192017795757,-7.20189423658403e-15,35
-49.8185008013712,-2.37407356019229e-14,36
-49.8182745194192,-1.21157263175728e-14,37
-49.8190588894059,3.57198958379893e-14,38
-49.8193581404671,-1.08881160998845e-14,39
-49.8181741335468,-3.79373519656975e-14,40
-49.819009672795,1.29083929636741e-14,41
-49.8186197486262,3.31427399957942e-14,42
-49.8191431385497,-2.3600608351057e-15,43
-49.8186262702198,2.9211944052685e-14,44
-49.8189953462016,2.71644886513037e-14,45
-49.8187856758653,5.22497120612885e-15,46
-49.8187642094957,2.57799183929468e-14,47
-49.8192031131555,-9.52814165654685e-15,48
2770.36231927931,4.12989081192111e-12,49
-49.8188053337327,3.75720894169129e-14,50
-49.8189616935195,1.03343273523269e-13,51
-49.8176923922215,6.24808940520157e-14,52
-49.8183003185107,-4.36354222338791e-15,53
-49.818774585455,1.45166805383652e-14,54
-49.8177747856491,2.63539382275089e-14,55
-49.8191646542263,1.76913709379918e-14,56
-49.8183773796397,-1.42201999267514e-14,57
-49.8182902752213,-3.65861271052107e-14,58
-49.8185324064073,5.07843054988432e-14,59
-49.8184865685008,4.41651618877458e-16,60
-49.8184705766416,-1.25832797400524e-14,61
-49.8184896633975,2.94234365566719e-15,62
-49.8194775161921,-9.81997593821152e-15,63
-49.8189841594404,-3.02889287983052e-14,64
-49.8187562125129,1.50179004127382e-15,65
-49.8192873618988,8.72124802627377e-15,66
-49.8178792155425,-3.81586797711869e-15,67
-49.818816281385,-1.47583738170021e-14,68
-49.8182979375179,7.13364924684921e-14,69
-49.8191206735399,6.93553835482577e-15,70
-49.8188570729315,1.21052218312567e-14,71
-49.8193779415251,-3.4012502704099e-14,72
-49.8193023558247,2.74009776708663e-14,73
-49.8191258616773,-2.58896249536529e-14,74
-49.8189648362196,1.14115184786421e-15,75
-49.8191589889915,-4.2930417994234e-15,76
-49.8190870216901,-2.24551968489115e-14,77
-49.8168894085675,-3.77596768253263e-14,78
-49.8186926686003,-1.4562483728149e-14,79
-49.8187897690362,5.63057559134049e-16,80
-49.8181911741672,4.18970090414304e-14,81
-49.8188540739298,1.307260285334e-14,82
-49.8190907343352,-2.55952708036857e-14,83
-49.8186720586521,-2.33130404941451e-14,84
-49.8191254809452,-2.21874833777866e-14,85
-49.8191746018551,-1.18470178870526e-14,86
-49.8188654979063,-4.10687263347803e-15,87
-49.8190263329856,3.82352271795026e-14,88
-49.8190059130817,-3.55770702224148e-14,89
-49.817955325309,3.00526375255877e-14,90
-49.8192465225459,-1.70768076648709e-14,91
-49.8190638879151,-3.02507198498869e-14,92
-49.8185276943908,-5.45540984294291e-15,93
-49.8184737649945,3.22549393363408e-14,94
-49.8179418089057,-2.67160121394525e-14,95
-49.8186999988787,-5.46829379822982e-15,96
-49.8183392057167,-3.95261147534796e-14,97
-49.8181134935819,-3.50754222167346e-14,98
-49.8190096735431,-4.62230371229306e-15,99
-49.8177833056019,-5.69923472929941e-15,100
-49.8190032002084,-1.04330734102572e-14,101
-49.819119196607,-4.93287439179653e-15,102
-49.8192693213247,-9.35848781627303e-15,103
-49.8185750065729,-3.73690087660386e-14,104
-49.8186123708935,6.06930600806553e-14,105
-49.8183193073881,-4.28034141717653e-14,106
-49.8191350954396,-1.99015847116416e-14,107
-49.8184167407792,2.50947017403353e-14,108
-49.8188168999902,3.83350131348702e-14,109
-49.8190709800895,1.84135406578213e-14,110
-49.8190313780195,2.84993470704092e-14,111
-49.8171839484542,3.7491767473079e-14,112
-49.8192088249235,-5.31542112100604e-16,113
