"","king_id","king_name","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",10011549,"King James IV",1.34212160336485e-05,1.14121215850542e-05,1.23830758109939e-05,1.28606752275094e-05,1.38875358835043e-05,1.05225017701827e-05,9.94901880363605e-06,9.91455787207244e-06,1.12460816851074e-05,1.1075011321791e-05,1.09668674490154e-05
"2",10011552,"King James V",4.61706109982402e-06,4.63955976411567e-06,4.35113525700893e-06,5.90509012391063e-06,5.60111786839821e-06,5.60478472636075e-06,5.10395607279067e-06,4.86449262248133e-06,4.92452501025677e-06,4.66409816545021e-06,4.73550140193357e-06
"3",10011683,"King James II and VII",6.27766242251504e-06,7.28332223885996e-06,7.71355682146226e-06,8.15952838435557e-06,1.21314840441012e-05,1.22730549926471e-05,1.09916627524027e-05,1.11359674938624e-05,1.13253876100114e-05,9.38581885344463e-06,1.0159553158834e-05
"4",10012119,"King Henry VIII",5.65946150345149e-06,5.12924598778719e-06,4.87340203533952e-06,4.9248085551298e-06,4.68945236842246e-06,4.81736098608472e-06,4.4918006506511e-06,4.33202206307403e-06,4.29369479454164e-06,4.36734521643855e-06,4.72606487143471e-06
"5",10011670,"King Charles I",2.84522964711408e-06,2.76456287725252e-06,2.69556788869568e-06,2.63161165493717e-06,2.99665116832576e-06,2.7724702549881e-06,3.32587566001216e-06,3.23131174564603e-06,3.50604449996424e-06,3.70339663031981e-06,3.07674117654254e-06
"6",10054890,"Katherine Sheffield Ducchess of Buckinghamshire and Normanby",2.95665543137603e-05,3.0305785374428e-05,3.43949920891518e-05,4.86878621159745e-05,4.1291601288298e-05,4.00464538865083e-05,4.58820830465703e-05,4.80838582487859e-05,4.62278106508876e-05,4.62278106508876e-05,4.62278106508876e-05
"7",10006459,"King George I",1.84080294807017e-05,1.82217984859115e-05,1.97198052173286e-05,2.01535336102179e-05,1.9238458013726e-05,1.81322722698412e-05,1.87301027938196e-05,1.93572340224961e-05,1.81311087501139e-05,1.99264536751966e-05,2.40051220005889e-05
"8",10011671,"King Charles II",3.87295718456014e-06,4.38702903529715e-06,4.92304542822511e-06,4.7898868349805e-06,4.89184529764468e-06,4.73536643922502e-06,5.71445435559273e-06,5.16306667404018e-06,4.87379083581845e-06,5.10792438304959e-06,5.64531119648945e-06
"9",10006462,"King George II",7.75055113807958e-05,0.00010697989661788,0.000102195768125642,0.000133711758209332,0.000138100360529257,0.000129031581935138,0.000160377580030118,0.000144486059057531,0.000154281483460569,0.000146534735254996,0.00015826140958188
"10",10011681,"King James I and VI",2.7112448050817e-06,2.73521365995558e-06,2.9010671329116e-06,2.7411172563126e-06,3.39973145660252e-06,3.05291448661709e-06,2.84139682028723e-06,2.75088743460286e-06,2.59185633174805e-06,2.45775017629022e-06,2.89134242202626e-06
"11",10005505,"King Philip II",2.63649348540562e-06,2.64102132436603e-06,2.45279834662715e-06,2.41727730473674e-06,2.38924868218985e-06,2.00196378320229e-06,2.01402241794257e-06,2.72930928662377e-06,2.43398548159775e-06,2.63639687832162e-06,2.39507200452473e-06
"12",10012118,"King Henry VII",1.65751180855063e-05,1.52599784316055e-05,1.43733286435854e-05,1.25439377160125e-05,1.34105823860425e-05,1.14984890208286e-05,1.24806561196658e-05,1.30853654528191e-05,1.40616848563149e-05,1.0965411626985e-05,1.04751874770455e-05
"13",10012116,"King Edward VI",4.56462582504188e-06,4.41179528714341e-06,4.37298295405809e-06,4.44945628954606e-06,4.7903627374419e-06,4.87465543350414e-06,4.84442339990718e-06,4.27313360343204e-06,3.86230906546918e-06,3.7904616013722e-06,3.34027379066747e-06
"14",10013308,"King William III and II",7.28816676315652e-06,7.71768691991429e-06,8.16633145619411e-06,1.21468336980944e-05,1.24001334361212e-05,1.10488953596662e-05,1.11947677936476e-05,1.13850163606734e-05,9.45914951650504e-06,1.02395785098915e-05,1.04479586742454e-05
