"SDFB Person ID","ODNB ID","Display Name","Prefix","First Name","Last Name","Suffix","Title","All Search Names","Gender","Historical Significance","Birth Year Type","Extant Birth Year","Alternate Birth Year","Death Year Type","Extant Death Year","Alternate Death Year","Group List","level","military","art","law","politics"
"10006047",13479,"Antony Holborne",NA,"Antony","Holborne","",NA,"Antony Holborne, Antony, Antony Holborne","male","lutenist and composer","AF","1492",NA,"CA","1602","1602","[]","No Title",0,1,0,0
"10007907",17912,"Gerard Malynes",NA,"Gerard","Malynes","",NA,"Gerard Malynes, Gerard Malines, Gerard de Malines, Garrett Malynes, Garrett Malines, Garrett de Malines, Gerald Malynes, Gerald Malines, Gerald de Malines, Gerard, Gerard Malynes","male","merchant and writer on economics","IN","1585","1585","IN","1641","1641","[]","No Title",0,1,0,0
"10054763",NA,"Ann Bowyer",NA,"Ann","Bowyer","",NA,"Ann, Ann Bowyer, Ann Ashmole","female","Comiler of a commonplace book held at the Bodleian library; mother of Elias Ashmole.","BF","1590","","AF","1617","","[]","No Title",0,0,0,0
"10003650",7974,"John Downes",NA,"John","Downes","",NA,"John Downes, John, John Downes","male","theatre prompter and historian","AF","1602",NA,"CA","1712","1712","[]","No Title",0,1,0,0
"10013131",30000,"Edward Wotton",NA,"Edward","Wotton","",NA,"Edward Wotton, Edward, Edward Wotton","male","diplomat and administrator","IN","1548","1548","IN","1628","1628","[]","No Title",0,0,0,1
"10007201",16187,"Stringer Lawrence",NA,"Stringer","Lawrence","",NA,"Stringer Lawrence, Stringer, Stringer Lawrence","male","army officer in the East India Company","IN","1697","1697","IN","1775","1775","[]","No Title",1,0,0,0
"10009154",20869,"Elias Osborn",NA,"Elias","Osborn","","church","Elias Osborn, Elias, Elias Osborn","male","Quaker minister","IN","1643","1643","IN","1720","1720","[]","Religion",0,0,0,0
"10002959",6576,"John Craig",NA,"John","Craig","",NA,"John Craig, John, John Craig","male","physician","AF","1545",NA,"IN","1655","1655","[]","No Title",0,0,0,0
"10011115",25600,"Alexander Simson",NA,"Alexander","Simson","","church","Alexander Simson, Alexander, Alexander Simson","male","Church of Scotland minister","IN","1570","1570","IN","1639","1639","[]","Religion",0,0,0,0
"10003287",7163,"Sir John Darnall","Sir","John","Darnall","","Sir","John Darnall, Sir John, Sir John Darnall, Sir Darnall, John, John Darnall","male","lawyer","IN","1673","1673","IN","1735","1735","[]","Significant",0,0,1,0
"10010187",23338,"Robert Reid",NA,"Robert","Reid","","church","Robert Reid, Robert, Robert Reid","male","Scottish Renaissance humanist, abbot of Kinloss, and Roman Catholic bishop of Orkney","AF","1448",NA,"IN","1558","1558","[]","Religion",0,0,0,0
