"V1","V2"
-14.9319463326007,0
-14.932827747098,4.50648811643181e-12
-14.9311870851672,7.89509431866309e-13
-14.9325865051779,4.5001474267163e-13
-14.9331377794003,2.1880820636935e-13
-14.9322248512363,3.38098194028037e-14
-14.9331964952374,6.39540058103194e-12
-14.9330633276595,-1.47586167254583e-12
-14.933231819241,1.96781556339444e-12
-14.9321910726741,1.0827549624024e-13
-14.9328520142499,7.97167687385379e-14
-14.9329341239238,-1.38923239388281e-13
-14.9323201220661,9.68972723890061e-14
-14.9328117026838,-8.61051235065694e-14
-14.9328156622228,-1.52171529884863e-13
-14.9331717657389,1.19407487924563e-13
-14.9325484083537,3.89563622215728e-14
-14.9325133419536,-2.15922561030155e-14
-14.932491027731,1.80795461077365e-14
-14.9334990230657,1.74312669995657e-13
-14.9331588596818,1.60065386704947e-13
-14.9323292766411,-9.28681636926385e-14
-14.9318041156853,-1.90210586378906e-13
-14.9330652832262,-1.50830293980663e-13
-14.9328199290588,1.23545513690335e-14
-14.9331972148939,7.67709236329884e-14
-14.9330687290015,-4.90798478837436e-14
-14.9327326796279,-1.96519193342899e-13
-14.9328579258929,-2.35992408505248e-14
-14.9333233377562,2.59354291646411e-13
-14.9329553581334,-1.05971860128532e-13
-14.9325987422755,-1.08514824341691e-13
-14.932808514722,-6.97238648393651e-15
-14.9327288211428,-9.30250929496607e-14
-14.9330901683332,-1.09568233656087e-13
-14.9324020288862,7.21482122080997e-14
-14.9308041980783,-9.99630207423284e-15
-14.9331392698901,2.05495485096082e-13
-14.9331290388691,-5.31682008996057e-15
-14.9331139232235,1.60527326730293e-13
-14.9329263586799,1.91454068202561e-13
-14.9325812609425,-1.51335171102623e-13
-14.9320020179053,1.05484704668215e-13
-14.9328536053823,3.56353296779771e-14
-14.9331217896117,-2.12837726837972e-13
-14.932861472787,-6.93550779592766e-14
-14.9328260984648,-2.78087446163883e-13
-14.9302773922057,-2.01313242820235e-13
-14.9324756553148,2.29097528301899e-14
-14.9321595519983,-2.86865568100839e-13
-14.9331161338159,1.72993628504568e-14
-14.9326446559778,-8.86170488858735e-14
-14.9320835097286,-1.77750874379792e-13
-14.9330130954101,-1.8255372031138e-13
-14.931427244716,-1.03901945677475e-13
-14.9328202908735,1.68115014397517e-13
-14.9331411214362,1.74402757032703e-13
-14.9321065460536,-1.91679832573938e-13
-14.9332578348347,1.95279160026406e-13
-14.9330205531783,-1.48666144636397e-13
-14.932558176045,-1.08069616814056e-13
-14.9329923232649,-5.37972576616678e-14
-14.9332479616129,-3.63564078799418e-14
-14.932104179987,2.02986370637019e-13
-14.9325133417721,-1.31725242271959e-13
-14.9323587363193,-1.43041384188897e-13
-14.9322259827093,1.53951340737898e-13
-14.9328276932032,-5.21279812531781e-14
-14.9333947531147,7.55397018996937e-15
-14.932004640326,1.0723197892001e-14
-14.9331076503602,8.16810609238296e-14
-14.9329772078464,-7.96782775633142e-14
-14.9331435373146,1.21674254222812e-14
-14.9331491942585,2.00806754140789e-13
-14.93217184261,9.63713226626271e-14
-14.9329369522087,-1.57996616204454e-13
-14.9325591511372,-3.45740466753541e-13
-14.9328381835209,1.56158666010549e-13
-14.9328625538498,-8.30875165115316e-14
-14.9331649783894,9.05173900028863e-14
-14.9297732100204,-4.27112025373253e-13
