"V1","V2"
-23.4930439974985,-4.6135695467082e-07
-23.4952188070247,-4.61715464220398e-07
-23.4920953723259,-4.61198807610735e-07
-23.4952668029222,-4.61724534825454e-07
-23.4849674331741,-4.60021967117203e-07
-23.4833409742598,-4.59751915568952e-07
-23.4922343573718,-4.61223137269861e-07
-23.4938849557179,-4.61495973162051e-07
-23.4883425414933,-4.60579723535128e-07
-23.4951182249284,-4.61699857678453e-07
-23.4952300748191,-4.6171834050531e-07
-23.4953139605047,-4.61732222001448e-07
-23.4953360672243,-4.61735855512225e-07
-23.4933135905418,-4.61401516706798e-07
-23.495321048461,-4.61733370106416e-07
-23.4899798129941,-4.60850390402315e-07
-23.4950481119337,-4.61688267688487e-07
-23.4926003421837,-4.61283611218932e-07
-23.4954166321795,-4.61749187257735e-07
-23.4900498964797,-4.60861946676994e-07
-23.4955105189983,-4.61764680992722e-07
-23.4931282801385,-4.61370870416872e-07
-23.4950239054113,-4.61684261506196e-07
-23.4950610502287,-4.61690402156371e-07
-23.4925615262734,-4.61277185127541e-07
-23.4934596777233,-4.61425674964992e-07
-23.4922151454427,-4.61219937509447e-07
-23.4953632090474,-4.61740352426279e-07
-23.494692102657,-4.6162939675333e-07
-23.4934534177091,-4.61424641827673e-07
-23.49502265325,-4.61684057689934e-07
-23.49502265325,-4.61684057851664e-07
-23.484822626706,-4.5999782579698e-07
-23.4951712291533,-4.61708608056267e-07
-23.4928102853945,-4.61318311709336e-07
-23.4921746816158,-4.61213282181613e-07
-23.4951328325571,-4.61702264194741e-07
-23.4950418508466,-4.61687232682143e-07
-23.4953882347874,-4.61744474088111e-07
-23.4951148847702,-4.61699308600252e-07
-23.4922894531767,-4.61232259609549e-07
-23.4952805764803,-4.61726699674733e-07
-23.4877540970087,-4.60482470437543e-07
-23.495320224636,-4.61733251899563e-07
-23.4938903661525,-4.61496860437231e-07
-23.4952108786832,-4.61715170958969e-07
-23.4955313893812,-4.61768139117415e-07
-23.4950259918337,-4.61684615523278e-07
-23.4951453480881,-4.61704326376519e-07
-23.4954303975469,-4.61751454844894e-07
-23.4951207274253,-4.61700276141372e-07
-23.49502265325,-4.61684058445672e-07
-23.4932275931771,-4.61387250107736e-07
-23.4953786529194,-4.61742912618813e-07
-23.4938073045158,-4.61483120034037e-07
-23.4955380569432,-4.61769234058708e-07
-23.4924033761754,-4.61251074050809e-07
-23.4957471356614,-4.61803782292684e-07
-23.4886167140135,-4.60625019553718e-07
-23.4953615203029,-4.61740053262105e-07
-23.4922485238934,-4.61225452554092e-07
-23.4952705524685,-4.61725025945573e-07
-23.4954262176972,-4.6175075892454e-07
-23.4950280785121,-4.6168494739791e-07
-23.4933227529212,-4.61403001260835e-07
-23.4926529316674,-4.6129230543386e-07
-23.4923699580864,-4.61245496953627e-07
-23.4955405670109,-4.61769646487915e-07
-23.4950280789128,-4.6168494779742e-07
910.453389670931,0.000290023342931594
-23.4952246399901,-4.61717443456851e-07
-23.4953439923617,-4.6173714945961e-07
-23.4952638676386,-4.61723921680744e-07
-23.4881054857729,-4.60540537500747e-07
-23.49502265325,-4.61684057870473e-07
-23.4950239054075,-4.61684261104935e-07
-23.4930214458854,-4.61353220404134e-07
-23.4939713066794,-4.61510201301797e-07
-23.4950343381153,-4.6168599270361e-07
-23.4934555010261,-4.61424993698485e-07
-23.4938911919558,-4.61496981527577e-07
-23.4953965685377,-4.61745823905448e-07
-23.4954274503495,-4.61750926475886e-07
-23.4956052621799,-4.61780359066556e-07
-23.4901008337661,-4.60870396874161e-07
-23.4938039690634,-4.61482557672237e-07
-23.4932117435303,-4.61384666135415e-07
-23.4889710860058,-4.60683663346537e-07
-23.4935806864969,-4.61445653151208e-07
-23.4943590484804,-4.61574331884899e-07
-23.4952421727542,-4.61720342790542e-07
-23.495170810124,-4.61708535804325e-07
-23.4953569417016,-4.61739319708794e-07
-23.4952004379791,-4.61713446374903e-07
-23.4951941840602,-4.61712418364979e-07
-23.4932230074122,-4.61386495166612e-07
-23.4930556621488,-4.61358858472759e-07
-23.492662519641,-4.61293878036486e-07
-23.4927163715706,-4.61302789286505e-07
-23.4950355912586,-4.61686195104659e-07
-23.4951966717901,-4.61712817671402e-07
971.824805951843,646.498985148925
-23.4952734775923,-4.61725892709984e-07
-23.4931499844033,-4.61374852566476e-07
-23.4937993902803,-4.61482194368798e-07
-23.4888892929436,-4.60670531275809e-07
-23.4952221473875,-4.61717398090654e-07
-23.4932843838781,-4.61397087842092e-07
-23.4954637857673,-4.61757350523096e-07
-23.4950335041465,-4.61686238825235e-07
-23.4927164031952,-4.613032118761e-07
-23.4934997086848,-4.6143264597546e-07
-23.4919989593075,-4.61184566379017e-07
-23.4956169397923,-4.61782643431175e-07
-23.4953757155902,-4.61742792086738e-07
-23.4923274082695,-4.61238876227703e-07
-23.4954132777674,-4.61748988624709e-07
-23.4950597923591,-4.61690572778082e-07
-23.4951950137116,-4.61712920338139e-07
-23.4953260589017,-4.61734580255307e-07
-23.4954145419956,-4.61749207857469e-07
-23.4937029791,-4.61466240799484e-07
-23.4940844336772,-4.6152932637479e-07
-23.4932718671127,-4.61395013520713e-07
-23.4951683090228,-4.61708513758513e-07
-23.4954212050316,-4.61750298919804e-07
-23.4961448564553,-4.61869881619793e-07
-23.4952976791136,-4.61729893118849e-07
-23.4953515089236,-4.61738772456599e-07
-23.4956248631823,-4.61783961398232e-07
-23.4952350850587,-4.61719550775705e-07
-23.4794320405845,-4.59106969069105e-07
-23.4920632444303,-4.61195238948872e-07
-23.4956711887672,-4.61791595034167e-07
-23.4954608563157,-4.61756873272738e-07
-23.4952171376334,-4.61716582917091e-07
